ID del Modelo,Tiempo de Entrenamiento (s),Precisión de Validación,
1,1814.468914,0.994000018,
2,1815.294917,0.992699981,
3,1772.700606,0.992799997,
4,1790.717756,0.991999984,
5,1802.635556,0.992299974,
6,1800.452187,0.992699981,
7,1813.210911,0.9921,
8,1835.479479,0.992600024,
9,1993.180319,0.992200017,
10,2146.844541,0.992900014,
,1858.498519,0.992629999,
